Time (EET),Open,High,Low,Close,Volume 
2026.01.01 16:00:00,592.8,593.5,591.6,593.2,0.04373
2026.01.01 16:10:00,593.4,594.4,593.2,593.3,0.0319
2026.01.01 16:20:00,593.2,593.2,592.3,592.4,0.01847
2026.01.01 16:30:00,592.0,592.0,588.2,588.9,0.05724
2026.01.01 16:40:00,589.0,589.7,588.8,589.6,0.03103
2026.01.01 16:50:00,589.8,591.8,589.7,590.9,0.04508
2026.01.01 17:00:00,590.8,591.2,589.8,591.2,0.03132
2026.01.01 17:10:00,591.1,591.9,591.0,591.1,0.03335
2026.01.01 17:20:00,591.0,591.0,590.2,590.7,0.02465
2026.01.01 17:30:00,590.6,590.9,588.9,589.9,0.03522
2026.01.01 17:40:00,590.0,593.6,590.0,591.4,0.05585
2026.01.01 17:50:00,591.5,592.2,591.1,592.0,0.0261
2026.01.01 18:00:00,592.1,592.8,591.4,592.6,0.05614
2026.01.01 18:10:00,592.7,592.7,591.3,591.9,0.04317
2026.01.01 18:20:00,592.0,593.3,591.3,593.1,0.03472
2026.01.01 18:30:00,592.7,593.0,591.4,591.4,0.02332
2026.01.01 18:40:00,591.5,591.5,587.9,589.6,0.03807
2026.01.01 18:50:00,589.5,589.9,589.0,589.8,0.02205
2026.01.01 19:00:00,590.0,591.3,589.5,590.9,0.03086
2026.01.01 19:10:00,590.8,591.4,590.3,590.9,0.02403
2026.01.01 19:20:00,591.1,592.0,590.1,590.6,0.03401
2026.01.01 19:30:00,590.5,592.6,590.5,591.6,0.05187
2026.01.01 19:40:00,591.7,592.0,590.1,591.4,0.02424
2026.01.01 19:50:00,591.6,591.7,590.7,591.0,0.01616
2026.01.01 20:00:00,591.1,591.4,590.1,591.0,0.02772
2026.01.01 20:10:00,591.1,591.3,589.5,590.2,0.0293
2026.01.01 20:20:00,590.3,590.6,589.5,589.6,0.01943
2026.01.01 20:30:00,589.7,590.3,589.1,590.1,0.0198
2026.01.01 20:40:00,590.0,591.0,590.0,590.6,0.01398
2026.01.01 20:50:00,590.5,590.6,589.8,590.1,0.02345
2026.01.01 21:00:00,590.2,590.5,589.9,590.0,0.01798
2026.01.01 21:10:00,590.1,590.3,589.9,589.9,0.01015
2026.01.01 21:20:00,590.0,590.7,589.9,590.6,0.01131
2026.01.01 21:30:00,590.4,592.6,590.4,592.2,0.02022
2026.01.01 21:40:00,592.1,592.8,591.5,592.2,0.03157
2026.01.01 21:50:00,592.1,592.9,591.8,592.3,0.02608
2026.01.01 22:00:00,592.2,593.0,591.9,592.7,0.02674
2026.01.01 22:10:00,592.8,593.5,592.7,593.3,0.01479
2026.01.01 22:20:00,593.2,594.2,593.1,593.6,0.02693
2026.01.01 22:30:00,593.5,593.6,592.2,592.9,0.02436
2026.01.01 22:40:00,593.0,593.2,592.6,592.9,0.01914
2026.01.01 22:50:00,593.0,593.2,592.6,593.1,0.01301
2026.01.01 23:00:00,592.0,592.3,590.8,591.8,0.00498
2026.01.01 23:10:00,591.7,593.2,591.7,592.6,0.00345
2026.01.01 23:20:00,592.6,593.8,592.5,592.7,0.00305
2026.01.01 23:30:00,592.6,593.8,592.5,592.6,0.003
2026.01.01 23:40:00,592.7,593.6,592.6,593.1,0.00301
2026.01.01 23:50:00,593.2,594.3,593.1,593.2,0.00336
2026.01.02 00:00:00,593.9,595.3,593.4,595.1,0.01988
2026.01.02 00:10:00,594.4,596.2,594.0,595.0,0.02304
2026.01.02 00:20:00,594.9,595.4,594.0,594.4,0.0276
2026.01.02 00:30:00,594.8,594.8,593.1,594.0,0.01971
2026.01.02 00:40:00,593.9,594.0,593.0,593.6,0.03017
2026.01.02 00:50:00,593.7,595.1,593.3,594.2,0.0436
2026.01.02 01:00:00,594.3,595.1,592.9,594.0,0.04032
2026.01.02 01:10:00,594.2,594.6,592.8,593.4,0.01012
2026.01.02 01:20:00,593.5,594.8,593.4,593.7,0.00849
2026.01.02 01:30:00,593.8,594.3,593.2,593.6,0.00336
2026.01.02 01:40:00,593.5,594.5,592.7,592.8,0.00742
2026.01.02 01:50:00,592.7,593.9,592.7,593.5,0.00283
2026.01.02 02:00:00,593.6,594.6,589.8,589.8,0.01597
2026.01.02 02:10:00,591.0,592.0,590.1,591.5,0.00824
2026.01.02 02:20:00,591.6,592.6,591.3,591.3,0.00424
2026.01.02 02:30:00,591.2,592.6,591.2,591.6,0.00196
2026.01.02 02:40:00,591.7,593.0,590.6,591.5,0.01132
2026.01.02 02:50:00,591.6,592.7,591.4,592.7,0.00388
2026.01.02 03:00:00,592.8,593.3,590.7,590.9,0.00983
2026.01.02 03:10:00,590.8,592.0,590.6,591.0,0.00596
2026.01.02 03:20:00,591.1,591.8,590.5,591.6,0.00786
2026.01.02 03:30:00,590.4,591.3,588.5,589.0,0.00998
2026.01.02 03:40:00,589.1,590.0,589.0,589.6,0.00292
2026.01.02 03:50:00,589.7,590.6,589.4,589.8,0.00428
2026.01.02 04:00:00,589.7,589.8,588.4,588.4,0.008
2026.01.02 04:10:00,588.5,589.4,587.9,588.5,0.0055
2026.01.02 04:20:00,588.6,589.0,587.8,588.0,0.00338
2026.01.02 04:30:00,587.9,589.2,587.9,588.0,0.0035
2026.01.02 04:40:00,588.1,590.0,588.0,589.0,0.01192
2026.01.02 04:50:00,589.1,589.6,589.0,589.1,0.00395
2026.01.02 05:00:00,589.0,589.9,586.1,586.6,0.01519
2026.01.02 05:10:00,586.5,589.7,586.1,589.3,0.01096
